0000000796;2023/06/11;flight
0000000753;2023/02/08;flight
Book0000031165;2023/02/08;reservation
0000000963;2023/02/07;flight
Book0000039706;2023/02/07;reservation
0000000244;2022/08/02;flight
0000000788;2022/06/18;flight
0000000219;2022/04/10;flight
0000000493;2021/12/08;flight
Book0000020226;2021/12/08;reservation
0000000725;2021/11/03;flight
Book0000029964;2021/11/03;reservation
0000000290;2021/07/13;flight
Book0000011657;2021/07/13;reservation
0000000662;2021/04/20;flight
Book0000027410;2021/04/20;reservation
0000000645;2021/01/09;flight
